X1_demo3,X2_demo3,Y_demo3
7.2666,500,0.065756
7.3155,500,0.066322
7.3656,500,0.06665
7.4137,500,0.065853
7.4655,500,0.066963
7.5149,500,0.066948
7.5653,500,0.06424
7.6121,500,0.066014
7.6648,500,0.06527
7.7188,500,0.066102
7.7661,500,0.066441
7.8109,500,0.065034
7.8638,500,0.065182
7.9145,500,0.067669
7.9622,500,0.066613
8.0171,500,0.066338
8.0637,500,0.066304
8.1171,500,0.06579
8.1631,500,0.065687
8.2168,500,0.06608
8.2642,500,0.066408
8.3149,500,0.065223
8.3645,500,0.06615
8.4151,500,0.066707
8.4657,500,0.065807
8.5152,500,0.066358
8.5659,500,0.066908
8.6174,500,0.065123
8.6679,500,0.06608
8.7136,500,0.066434
8.7661,500,0.066079
8.8137,500,0.065122
8.8645,500,0.066606
8.9166,500,0.066741
8.9636,500,0.067798
9.0148,500,0.066017
9.0648,500,0.066211
9.115,500,0.065995
9.1671,500,0.066127
9.2149,500,0.065004
9.2648,500,0.066864
9.316,500,0.064953
9.3687,500,0.066284
9.4144,500,0.065479
9.4662,500,0.065758
9.5126,500,0.065481
9.5637,500,0.065531
9.6145,500,0.066485
9.6645,500,0.066351
9.7164,500,0.067089
9.7642,500,0.066545
9.816,500,0.066083
9.8664,500,0.067121
9.9166,500,0.066412
9.9653,500,0.066536
1.9988,1000,-0.0023724
2.0682,1000,-0.0022503
2.1177,1000,-0.0012853
2.1663,1000,-0.0010298
2.2943,1000,-0.0019413
2.3976,1000,-0.0014417
2.4868,1000,-0.00069034
2.5571,1000,-0.00023649
2.6405,1000,-0.002384
2.7411,1000,-0.00097648
2.8162,1000,-0.00054164
2.8619,1000,-0.0016706
2.9402,1000,-0.00075521
3.0391,1000,-0.0016096
3.136,1000,-0.0021245
3.2241,1000,-0.00067895
3.2691,1000,-0.00084679
3.3116,1000,-0.0009308
3.3545,1000,-0.00014878
3.4176,1000,-0.0028153
3.4783,1000,-0.0015145
3.5242,1000,-0.00082406
3.5781,1000,-0.00094214
3.6219,1000,-0.0020407
3.6672,1000,-0.000534
3.7178,1000,-0.0012892
