h,t,m
36000.0,29.69749,0.06915627
36000.0,30.19876,0.06896812
36000.0,30.78997,0.06874558
36000.0,31.20757,0.0685721
36000.0,31.69118,0.06836687
36000.0,32.20428,0.06811584
36000.0,32.69214,0.06794453
36000.0,33.19888,0.0677021
36000.0,33.69354,0.06746218
36000.0,34.21468,0.06719686
36000.0,34.70241,0.06694122
36000.0,35.20485,0.06665773
36000.0,35.69682,0.06638563
36000.0,36.1985,0.0660709
36000.0,36.69511,0.0657617
36000.0,37.17635,0.06541159
36000.0,37.7066,0.06497903
36000.0,38.17505,0.06419794
36000.0,38.68456,0.06281078
36000.0,39.20608,0.05713693
36000.0,39.70287,0.0498489
36000.0,40.1977,0.04517219
36000.0,40.68495,0.04302597
36000.0,41.21369,0.0418491
36000.0,41.70499,0.04093205
36000.0,42.19778,0.04006079
36000.0,42.69675,0.0392241
36000.0,43.19988,0.03840406
36000.0,43.69626,0.03764213
36000.0,44.19543,0.03690829
36000.0,44.68231,0.03621843
36000.0,45.20223,0.03550723
36000.0,45.67566,0.03486163
36000.0,46.16734,0.03424413
36000.0,46.7014,0.03358767
36000.0,47.2079,0.03296405
36000.0,47.71256,0.03237662
36000.0,48.19672,0.03181845
36000.0,48.70947,0.03124966
36000.0,49.19411,0.03071025
36000.0,49.69614,0.03018654
36000.0,50.18908,0.02967742
36000.0,50.81491,0.029037
36000.0,51.21297,0.02863069
36000.0,51.69499,0.02819989
36000.0,52.1899,0.02774693
36000.0,52.72197,0.02728253
36000.0,53.19385,0.02686875
36000.0,53.69169,0.02645198
36000.0,54.20193,0.02603867
36000.0,54.69093,0.02564811
36000.0,55.20729,0.02525313
36000.0,55.69627,0.02488563
36000.0,56.18739,0.02452871
36000.0,56.68733,0.02416671
36000.0,57.19065,0.02381488
36000.0,57.70432,0.02347264
36000.0,58.19309,0.02313554
36000.0,58.69891,0.02282305
36000.0,59.17596,0.02252097
36000.0,59.6896,0.02220776
36000.0,59.9995,0.02200655
34000.0,10.0059,0.07194199
34000.0,10.69213,0.07192429
34000.0,11.17546,0.07191371
34000.0,11.69163,0.07190525
34000.0,12.17697,0.07189295
34000.0,12.68208,0.07188749
34000.0,13.22354,0.07187246
34000.0,13.70629,0.07194829
34000.0,14.18905,0.07185138
34000.0,14.69108,0.0718233
34000.0,15.18417,0.07180987
34000.0,15.69872,0.07178423
34000.0,16.18576,0.07175816
34000.0,16.69294,0.07173112
34000.0,17.18599,0.07169534
34000.0,17.68711,0.07167017
34000.0,18.19003,0.07162296
34000.0,18.69674,0.07157151
34000.0,19.20424,0.07151742
34000.0,19.68465,0.07137427
34000.0,20.19328,0.07140014
34000.0,20.68787,0.07133383
34000.0,21.20348,0.07125676
34000.0,21.68137,0.07118536
34000.0,22.2089,0.07109111
34000.0,22.69312,0.07100059
34000.0,23.18126,0.07090843
34000.0,23.68685,0.07080355
34000.0,24.19328,0.07068435
34000.0,24.71627,0.07057291
34000.0,25.20164,0.07044397
34000.0,25.71697,0.07032442
34000.0,26.20568,0.07017806
34000.0,26.68344,0.07004213
34000.0,27.19825,0.06988814
34000.0,27.68703,0.06982331
34000.0,28.19589,0.06956684
34000.0,28.68616,0.06939844
34000.0,29.21156,0.06921699
34000.0,29.70654,0.06903955
34000.0,30.1829,0.06885809
34000.0,30.80186,0.06844097
34000.0,31.20776,0.06843705
34000.0,31.70104,0.06822057
34000.0,32.18663,0.06800552
34000.0,32.69093,0.06778049
34000.0,33.19209,0.06753055
34000.0,33.69531,0.06728342
34000.0,34.20634,0.06702749
34000.0,34.69992,0.06675265
34000.0,35.18951,0.06647114
34000.0,35.68261,0.06617678
34000.0,36.17725,0.06586748
34000.0,36.68085,0.06552097
34000.0,37.20935,0.06512529
34000.0,37.67766,0.06459942
34000.0,38.18647,0.06336721
34000.0,38.71314,0.060335
34000.0,39.20129,0.0512426
34000.0,39.70105,0.04546148
34000.0,40.19021,0.04245963
34000.0,40.71594,0.04119699
34000.0,41.21761,0.04020382
34000.0,41.69511,0.03933921
34000.0,42.18568,0.03850444
34000.0,42.69407,0.03767087
