Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Algorithm,Long Reg Fit,Long Percent Error (%),Trans Moment (emu),Trans Scan Std Dev,Trans Algorithm,Trans Reg Fit,Trans Percent Error (%),Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Long Percent Error [w/o ABS] (%),Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],Trans Percent Error [w/o ABS] (%),Points per Scan,Scans per Measurement,Scan Length (cm),Delta Temp (K),Rot Position (deg),Error,EC Comp. Running,Using ABS,Unnamed: 30
1627058744.045,,40000.0,27.20169,0.06523612,0.0,3,0.9974565,0.0,,,,,,,,,,,,,,32,1,4.0,0.386301,0.0,0,1,0,
1627058784.211,,40000.0,27.70548,0.06509522,0.0,3,0.9974301,0.0,,,,,,,,,,,,,,32,1,4.0,0.3764305,0.0,0,1,0,
1627058834.095,,40000.0,28.20007,0.06494754,0.0,3,0.9974576,0.0,,,,,,,,,,,,,,32,1,4.0,0.3467503,0.0,0,1,0,
1627058878.471,,40000.0,28.69864,0.06479041,0.0,3,0.9974931,0.0,,,,,,,,,,,,,,32,1,4.0,0.3387699,0.0,0,1,0,
1627058917.976,,40000.0,29.14289,0.06462309,0.0,3,0.9975616,0.0,,,,,,,,,,,,,,32,1,4.0,0.2845211,0.0,0,1,0,
1627058968.671,,40000.0,29.70934,0.06443675,0.0,3,0.9974462,0.0,,,,,,,,,,,,,,32,1,4.0,0.3273296,0.0,0,1,0,
1627059011.907,,40000.0,30.1871,0.06424882,0.0,3,0.9975141,0.0,,,,,,,,,,,,,,32,1,4.0,0.3768291,0.0,0,1,0,
1627059066.121,,40000.0,30.8504,0.06401207,0.0,3,0.9974714,0.0,,,,,,,,,,,,,,32,1,4.0,0.4090309,0.0,0,1,0,
1627059099.207,,40000.0,31.204,0.06386612,0.0,3,0.9974279,0.0,,,,,,,,,,,,,,32,1,4.0,0.3486595,0.0,0,1,0,
1627059144.163,,40000.0,31.70828,0.06369625,0.0,3,0.9975229,0.0,,,,,,,,,,,,,,32,1,4.0,0.4066696,0.0,0,1,0,
